incident_number,external_reference,title,narrative,type_code,severity_code,status_code,source_code,weather_condition_code,primary_station_code,occurrence_at,reported_at,dispatch_at,arrival_at,resolved_at,location_lat,location_lng,location_wkt,location_geohash,address_line_1,address_line_2,city,region,postal_code,casualty_count,responder_injuries,estimated_damage_amount,is_active,metadata
INC-20250723-000001,EXT-27949,Visionary directional help-desk,Major teach hospital laugh generation party glass.,FIRE_STRUCTURE,SEVERE,CANCELLED,FIELD_REPORT,SNOW,STA-001,2025-07-23T20:00:48.909356+00:00,2025-07-23T20:02:48.909356+00:00,2025-07-23T20:08:48.909356+00:00,2025-07-23T20:21:48.909356+00:00,2025-07-23T21:13:48.909356+00:00,47.743395730195815,-122.25288107969831,POINT(-122.252881 47.743396),c23pd56j,4530 Livingston Union,,Jonestown,ID,84667,0,0,328485.48,False,"{""report_channel"":""call"",""triage_level"":""SEVERE"",""dispatch_console"":""CSODF"",""primary_station"":""STA-001""}"
INC-20250930-000002,EXT-53918,Future-proofed contextually-based Graphic Interface,Someone season democratic voice every once.,FIRE_WILDLAND,LOW,REPORTED,911,CLEAR,STA-001,2025-09-30T07:19:52.909356+00:00,2025-09-30T07:28:52.909356+00:00,,,,47.74033520845197,-122.21793238154991,POINT(-122.217932 47.740335),c23pdfge,4620 Craig Meadow,,Jonestown,ID,84667,0,0,0.0,True,"{""report_channel"":""call"",""triage_level"":""LOW"",""dispatch_console"":""CUEO"",""primary_station"":""STA-001""}"
INC-20250809-000003,EXT-91129,Synergized human-resource toolset,Enjoy debate technology reflect tax growth card. Total business stage eat agent brother. Voice everybody mind simple management write bank.,RESCUE,SEVERE,ON_SCENE,FIELD_REPORT,CLEAR,STA-001,2025-08-09T05:28:27.909356+00:00,2025-08-09T05:37:27.909356+00:00,2025-08-09T05:37:27.909356+00:00,2025-08-09T05:41:27.909356+00:00,,47.74044089866325,-122.22175638841135,POINT(-122.221756 47.740441),c23pdfbu,6847 Durham Dam,,Jonestown,ID,84667,1,1,27296.49,True,"{""report_channel"":""call"",""triage_level"":""SEVERE"",""dispatch_console"":""WOFVBB"",""primary_station"":""STA-001""}"
INC-20250919-000004,EXT-27148,Secured zero administration strategy,Never about throw people forward. Expect fact we position leave system authority rule.,FIRE_STRUCTURE,SEVERE,ON_SCENE,SENSOR,HEAT,STA-003,2025-09-19T23:47:37.909356+00:00,2025-09-19T23:53:37.909356+00:00,2025-09-19T23:54:37.909356+00:00,2025-09-20T00:11:37.909356+00:00,,47.50341112135633,-122.1903233150493,POINT(-122.190323 47.503411),c23n5rxx,2925 Tracy Avenue,,West Maryville,OH,64729,0,0,156695.51,True,"{""report_channel"":""call"",""triage_level"":""SEVERE"",""dispatch_console"":""LTZCK"",""primary_station"":""STA-003""}"
INC-20250914-000005,EXT-45172,Managed system-worthy process improvement,Baby want job those wide short final. Peace result story stock attorney say. Born west marriage seem current bit eight others.,FIRE_WILDLAND,CRITICAL,ON_SCENE,FIELD_REPORT,RAIN,STA-002,2025-09-14T07:23:50.909356+00:00,2025-09-14T07:32:50.909356+00:00,2025-09-14T07:33:50.909356+00:00,2025-09-14T07:47:50.909356+00:00,,47.53336855713824,-122.13860398583489,POINT(-122.138604 47.533369),c23nktjm,45313 Murphy Harbors Apt. 990,,East Allenport,FL,32716,0,0,362251.15,True,"{""report_channel"":""sensor"",""triage_level"":""CRITICAL"",""dispatch_console"":""SKDIAI"",""primary_station"":""STA-002""}"
INC-20250927-000006,EXT-02277,Digitized hybrid policy,Put word house both.,HAZMAT,CRITICAL,ON_SCENE,911,HEAT,STA-003,2025-09-27T21:37:11.909356+00:00,2025-09-27T21:46:11.909356+00:00,2025-09-27T21:50:11.909356+00:00,2025-09-27T22:05:11.909356+00:00,,47.508617457970146,-122.23043229104557,POINT(-122.230432 47.508617),c23n68dt,4206 Sanders Falls,,West Maryville,OH,64729,2,0,380502.93,True,"{""report_channel"":""mobile"",""triage_level"":""CRITICAL"",""dispatch_console"":""WAGBOS"",""primary_station"":""STA-003""}"
INC-20250811-000007,EXT-02735,Pre-emptive multi-state adapter,However service prove well create state close space. Or report reality result.,HAZMAT,LOW,REPORTED,SENSOR,RAIN,STA-002,2025-08-11T00:50:41.909356+00:00,2025-08-11T00:59:41.909356+00:00,,,,47.550697716744196,-122.14229317606465,POINT(-122.142293 47.550698),c23ns86d,21093 Dean Inlet,,East Allenport,FL,32716,0,0,0.0,True,"{""report_channel"":""sensor"",""triage_level"":""LOW"",""dispatch_console"":""JAJVC"",""primary_station"":""STA-002""}"
INC-20250916-000008,EXT-84463,Managed context-sensitive artificial intelligence,Consumer herself green onto. Seat I surface share.,FIRE_WILDLAND,HIGH,RESOLVED,SENSOR,SNOW,STA-002,2025-09-16T19:07:04.909356+00:00,2025-09-16T19:13:04.909356+00:00,2025-09-16T19:16:04.909356+00:00,2025-09-16T19:21:04.909356+00:00,2025-09-16T20:31:04.909356+00:00,47.537774627736376,-122.14004930651284,POINT(-122.140049 47.537775),c23nktur,73010 Williams Route,,East Allenport,FL,32716,0,0,243347.94,False,"{""report_channel"":""mobile"",""triage_level"":""HIGH"",""dispatch_console"":""SZRF"",""primary_station"":""STA-002""}"
INC-20250818-000009,EXT-51794,Intuitive zero tolerance matrices,Series arm let. Visit prove wide increase including. Mrs body enjoy policy will this.,MEDICAL,LOW,DISPATCHED,SENSOR,RAIN,STA-001,2025-08-18T16:30:55.909356+00:00,2025-08-18T16:33:55.909356+00:00,2025-08-18T16:38:55.909356+00:00,2025-08-18T16:55:55.909356+00:00,,47.71860960729103,-122.20733152748977,POINT(-122.207332 47.718610),c23p7ngm,8572 Rose Trafficway Suite 614,,Jonestown,ID,84667,0,0,0.0,True,"{""report_channel"":""sensor"",""triage_level"":""LOW"",""dispatch_console"":""UBKEEU"",""primary_station"":""STA-001""}"
INC-20250909-000010,EXT-33225,Triple-buffered impactful orchestration,Staff movie participant last. Film street save. Discuss wind coach million parent prevent meeting fire.,MEDICAL,MODERATE,REPORTED,FIELD_REPORT,WIND,STA-001,2025-09-09T00:25:59.909356+00:00,2025-09-09T00:25:59.909356+00:00,,,,47.759194357118126,-122.21755524288515,POINT(-122.217555 47.759194),c23pdy7c,74300 Brown Street Suite 991,,Jonestown,ID,84667,0,0,33207.6,True,"{""report_channel"":""sensor"",""triage_level"":""MODERATE"",""dispatch_console"":""FNGIB"",""primary_station"":""STA-001""}"
